年龄,性别,文化程度,目前社区是否存在集体产业？,人均年收入,社区产业是否依托了当地的自然地理与历史文化资源优势？,社区产业中是否包含了生态旅游等特色产业？,您认为目前社区产业发展最大的困难是什么？,基层党组织是否在社区产业发展中起到了引领作用？,基层党组织是否能够站在村民的立场上做事并为群众的利益服务？,社区目前的人口结构如何？,增加社区高质量人才的关键是？,当地社区内的年轻人是否愿意返乡创业？,社区现有的娱乐活动和文化活动是否能满足民众的精神需求？,社区在村史和乡村文化上是否做过宣传和研究工作？,保护村内传统文化设施对现代产业发展是起到了促进作用还是阻碍作用？,对社区目前居住环境的满意程度？,目前社区是否实现了经济与生态的协同发展？
35~60岁,男,高中,是,(空),是,否,青年劳动力的缺乏,是,是,老年人占主导,同样重要,否,否,否,无影响,6,否
35~60岁,女,大专,否,(空),是,否,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,是,是,否,无影响,5,否
16~34岁,男,本科及以上,是,6000,是,是,青年劳动力的缺乏,是,是,老年人占主导,同样重要,否,是,是,促进作用,6,是
16~34岁,女,高中,是,80000,是,是,交通与通讯不便捷,是,是,青壮年占主导,引进人才,否,是,是,促进作用,8,是
16~34岁,男,本科及以上,否,(空),否,是,人才与科技的缺失,否,是,老年人占主导,留住人才,否,否,否,无影响,4,否
60岁以上,女,小学及以下,是,2000,是,否,交通与通讯不便捷,是,是,青壮年占主导,留住人才,是,否,否,阻碍作用,5,否
60岁以上,男,初中,是,(空),是,是,人才与科技的缺失,是,是,青壮年占主导,同样重要,否,否,是,促进作用,6,是
16~34岁,男,本科及以上,否,(空),是,是,人才与科技的缺失,是,是,青少年占主导,引进人才,是,是,是,促进作用,6,是
35~60岁,男,初中,否,(空),是,否,青年劳动力的缺乏,是,是,老年人占主导,同样重要,是,是,是,促进作用,9,是
16~34岁,女,初中,是,80000,是,否,人才与科技的缺失,否,是,青壮年占主导,同样重要,是,是,是,无影响,8,是
16~34岁,女,小学及以下,是,80000,是,否,人才与科技的缺失,是,是,青壮年占主导,引进人才,是,是,是,阻碍作用,7,是
35~60岁,男,高中,是,70000,是,否,人才与科技的缺失,是,是,青壮年占主导,引进人才,是,是,是,促进作用,6,是
35~60岁,男,高中,是,60000,是,是,其它,是,是,青少年占主导,留住人才,是,否,是,促进作用,10,是
16~34岁,男,高中,是,(空),是,是,交通与通讯不便捷,是,是,青壮年占主导,留住人才,是,是,是,阻碍作用,3,是
60岁以上,女,高中,是,68000,是,是,交通与通讯不便捷,是,是,青壮年占主导,同样重要,是,是,是,促进作用,6,是
16岁以下,女,初中,否,(空),是,是,其它,是,是,青少年占主导,引进人才,否,是,是,阻碍作用,8,是
60岁以上,女,小学及以下,否,(空),是,否,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,否,是,是,无影响,7,是
60岁以上,女,大专,是,(空),是,否,其它,是,是,青壮年占主导,留住人才,是,是,是,促进作用,4,否
35~60岁,女,高中,是,(空),否,是,交通与通讯不便捷,是,是,老年人占主导,同样重要,是,是,是,阻碍作用,9,否
35~60岁,男,初中,是,60000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,留住人才,是,是,是,阻碍作用,7,是
35~60岁,男,高中,是,65000,是,是,交通与通讯不便捷,是,是,青壮年占主导,引进人才,是,是,是,促进作用,8,是
16岁以下,男,小学及以下,是,(空),是,是,人才与科技的缺失,是,是,青少年占主导,同样重要,是,是,是,促进作用,10,是
35~60岁,男,初中,是,90000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,是,是,是,无影响,7,是
16~34岁,女,大专,否,(空),是,否,青年劳动力的缺乏,是,是,青少年占主导,留住人才,是,是,是,阻碍作用,10,是
16~34岁,女,大专,是,(空),是,是,交通与通讯不便捷,是,是,青壮年占主导,引进人才,否,是,否,促进作用,6,是
35~60岁,男,初中,否,90000,是,是,交通与通讯不便捷,是,是,青壮年占主导,留住人才,是,是,是,促进作用,6,是
16~34岁,男,本科及以上,是,80000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,是,是,是,促进作用,4,是
16~34岁,男,大专,是,(空),是,否,人才与科技的缺失,是,是,青少年占主导,留住人才,是,是,是,促进作用,7,是
16~34岁,男,大专,是,70000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,是,是,是,促进作用,7,是
60岁以上,男,小学及以下,是,(空),是,是,交通与通讯不便捷,是,是,青壮年占主导,同样重要,是,是,是,无影响,9,是
16~34岁,男,高中,是,90000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,留住人才,是,是,是,无影响,8,是
35~60岁,女,本科及以上,是,96000,是,是,人才与科技的缺失,是,是,青壮年占主导,留住人才,是,是,是,促进作用,4,是
35~60岁,男,高中,是,(空),是,否,青年劳动力的缺乏,是,是,青壮年占主导,引进人才,否,否,否,促进作用,2,否
16~34岁,男,高中,是,80000,是,是,交通与通讯不便捷,是,是,青壮年占主导,留住人才,是,是,是,无影响,7,是
35~60岁,女,初中,是,60000,是,否,人才与科技的缺失,是,是,青壮年占主导,同样重要,是,是,是,促进作用,8,是
60岁以上,女,本科及以上,是,(空),是,是,交通与通讯不便捷,是,是,青壮年占主导,同样重要,是,是,否,阻碍作用,8,是
16~34岁,女,高中,是,(空),是,是,交通与通讯不便捷,是,是,青少年占主导,引进人才,是,是,是,阻碍作用,8,否
60岁以上,男,高中,是,60000,否,否,青年劳动力的缺乏,是,是,青少年占主导,引进人才,否,否,是,促进作用,5,否
35~60岁,男,高中,是,60000,是,是,青年劳动力的缺乏,是,是,青壮年占主导,同样重要,是,否,否,促进作用,9,是
16~34岁,女,高中,是,(空),是,否,交通与通讯不便捷,是,是,青壮年占主导,引进人才,是,否,是,阻碍作用,4,是
16~34岁,女,本科及以上,是,130000,是,是,人才与科技的缺失,是,是,青壮年占主导,同样重要,否,是,是,促进作用,9,是
35~60岁,男,高中,是,(空),是,否,其它,是,是,青壮年占主导,留住人才,否,否,是,促进作用,4,是
35~60岁,男,高中,否,67000,是,是,人才与科技的缺失,是,是,青壮年占主导,同样重要,是,是,是,促进作用,9,是
35~60岁,女,高中,是,(空),是,是,青年劳动力的缺乏,是,否,青壮年占主导,留住人才,是,否,否,无影响,7,是
35~60岁,男,高中,是,80000,是,是,人才与科技的缺失,是,是,青壮年占主导,同样重要,是,是,是,促进作用,8,是
35~60岁,男,高中,是,76000,是,是,其它,是,是,青壮年占主导,同样重要,是,是,是,促进作用,8,是
16~34岁,男,高中,是,(空),是,否,交通与通讯不便捷,是,是,青壮年占主导,留住人才,否,是,否,阻碍作用,5,是
60岁以上,女,小学及以下,否,60000,是,否,青年劳动力的缺乏,是,是,青壮年占主导,引进人才,是,是,是,促进作用,10,是
60岁以上,男,高中,是,(空),是,否,交通与通讯不便捷,是,是,青壮年占主导,同样重要,否,否,是,阻碍作用,6,是
16~34岁,男,高中,是,90000,是,是,交通与通讯不便捷,是,是,青壮年占主导,留住人才,是,是,是,无影响,9,是
60岁以上,女,初中,否,60000,否,否,其它,是,是,老年人占主导,引进人才,否,是,是,促进作用,4,否
35~60岁,女,大专,是,(空),是,否,交通与通讯不便捷,是,否,老年人占主导,同样重要,否,否,是,促进作用,2,是
